ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,7164.T,全国保証,75.6,83,66,68,📈 買い,3178.0,12.9,0.02,0.1627999517665501,0.48,finance,GC形成中 / 75日MA上 / 割安 / 信用良好(0.5倍) / ⚠ペナルティ1件
2,7980.T,重松製作所,75.0,77,62,90,🏛️ 買い（政策恩恵）,1026.0,11.2,0.01,0.11586189247752711,803.25,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠信用過熱(803.2倍) / ⚠ペナルティ2件
3,6203.T,豊和工業,71.6,80,57,90,🏛️ 買い（政策恩恵）,1754.0,11.1,0.01,0.06007198709196972,6.5,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(6.5倍) / ⚠ペナルティ1件
4,5706.T,三井金属鉱業,70.5,65,75,72,🏛️ 買い（政策恩恵）,30790.0,4.9,0.01,0.21253860407659048,2.98,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
5,9279.T,ギフトホールディングス,69.5,88,35,72,👀 監視・買い検討,4085.0,163.7,0.06,0.036249674216268915,0.76,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
6,4275.T,カーリットHD,69.4,78,52,90,👀 監視・買い検討,2924.0,14.1,0.01,0.042481968457742346,3.52,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(3.5倍) / ⚠ペナルティ1件
7,7388.T,FPパートナー,67.8,79,50,72,👀 監視・買い検討,2362.0,,,0.28737790219180454,1.74,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
8,4274.T,細谷火工,67.8,65,45,90,👀 監視・買い検討,1478.0,36.27,0.02,0.05256058363321358,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
9,6952.T,カシオ計算機,67.6,56,45,90,👀 監視・買い検討,1398.0,42.1,0.02,0.056697892824276175,1.63,defense,🏛️政策主力(defense) / RSI底値圏 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
10,6920.T,レーザーテック,67.6,78,53,84,👀 監視・買い検討,34770.0,101.1,0.35,0.34880771182141046,5.28,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(5.3倍) / ⚠ペナルティ1件
11,4578.T,大塚ホールディングス,67.4,88,52,60,👀 監視・買い検討,10190.0,16.2,0.01,0.07997138808286659,1.31,medical,GC形成中 / 75日MA上
12,4063.T,信越化学工業,67.4,80,50,84,👀 監視・買い検討,6098.0,26.3,0.03,0.10175620317845234,5.21,"semiconductor, rare_earth","🏛️政策主力(semiconductor, rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(5.2倍) / ⚠ペナルティ1件"
13,7685.T,BuySell Technologies,66.5,76,49,72,👀 監視・買い検討,6710.0,72.1,0.13,0.1740005296510793,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
14,5253.T,カバー,65.8,73,50,72,👀 監視・買い検討,1633.0,,,0.5515370705244123,2.82,startup_growth,政策(startup_growth) / 75日MA上
15,9519.T,レノバ,65.6,78,58,74,👀 監視・買い検討,717.0,24.9,0.19,0.7544584316810911,16.5,"green_energy, startup_growth",政策(green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(16.5倍) / ⚠ペナルティ1件
16,3482.T,ロードスターキャピタル,65.5,65,75,72,👀 監視・買い検討,3500.0,5.9,0.02,0.3496956352804041,51.8,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(51.8倍) / ⚠ペナルティ1件
17,6196.T,ストライク,65.1,83,53,72,👀 監視・買い検討,4345.0,33.6,0.09,0.26393119956778843,28.34,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(28.3倍) / ⚠ペナルティ1件
18,9433.T,KDDI,65.0,69,62,78,👀 監視・買い検討,2709.5,11.95,0.02,0.1368769591488575,3.84,ai_digital,政策(ai_digital) / 75日MA上 / 割安 / ⚠信用過熱(3.8倍) / ⚠ペナルティ1件
19,7157.T,ライフネット生命保険,64.8,83,35,72,👀 監視・買い検討,2238.0,,,-0.19701379223079843,1.71,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
20,7721.T,東京計器,64.5,70,45,90,👀 監視・買い検討,8170.0,16.37,0.0,0.02958765146059676,4.69,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(4.7倍) / ⚠ペナルティ1件
21,5592.T,5592.T,64.0,68,50,72,👀 監視・買い検討,2754.0,,,0.7504057661935508,,startup_growth,政策(startup_growth) / 75日MA上
22,1811.T,前田建設工業,63.9,85,42,76,👀 監視・買い検討,9070.0,11.5,0.0,0.043146663807200496,25.06,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(25.1倍) / ⚠ペナルティ1件
23,5801.T,古河電気工業,63.8,70,47,72,👀 監視・買い検討,27455.0,20.93,0.01,0.03427065628598059,2.27,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
24,5714.T,DOWAホールディングス,63.5,75,57,72,👀 監視・買い検討,10055.0,12.56,0.01,0.07886814954014058,9.17,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(9.2倍) / ⚠ペナルティ1件
25,6701.T,NEC,63.3,52,62,90,👀 監視・買い検討,4500.0,11.7,0.01,0.11436447321448365,28.24,"defense, ai_digital","🏛️政策主力(defense, ai_digital) / 割安 / ⚠信用過熱(28.2倍) / ⚠ペナルティ1件"
26,7047.T,ポート,63.0,88,40,72,👀 監視・買い検討,2358.0,53.4,0.04,0.0791295746785361,377.67,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(377.7倍) / ⚠ペナルティ1件
27,9211.T,エフ・コード,62.8,79,50,72,👀 監視・買い検討,1590.0,,,0.7148518688131892,2974.67,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(2974.7倍) / ⚠ペナルティ1件
