ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,7980.T,重松製作所,77.6,70,62,90,🏛️ 買い（政策恩恵）,897.0,11.2,0.01,0.11586189247752711,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠ペナルティ1件
2,4274.T,細谷火工,76.0,80,45,90,🏛️ 買い（政策恩恵）,1475.0,36.27,0.02,0.05256058363321358,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
3,6146.T,ディスコ,74.4,78,49,84,🏛️ 買い（政策恩恵）,75500.0,32.0,0.05,0.15490663834643673,0.87,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / 信用良好(0.9倍) / ⚠ペナルティ1件
4,8035.T,東京エレクトロン,73.0,75,58,84,🏛️ 買い（政策恩恵）,44010.0,29.95,0.07,0.2371169338702782,2.14,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
5,5706.T,三井金属鉱業,72.5,71,75,72,🏛️ 買い（政策恩恵）,36910.0,4.9,0.01,0.21253860407659048,1.23,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
6,1812.T,鹿島建設,72.5,88,67,76,🏛️ 買い（政策恩恵）,7142.0,8.1,0.01,0.11134870242742477,20.16,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(20.2倍) / ⚠ペナルティ1件
7,1801.T,大成建設,71.5,71,67,76,🏛️ 買い（政策恩恵）,20340.0,9.6,0.01,0.10960659387508585,2.57,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安
8,5707.T,東邦亜鉛,71.2,74,67,72,🏛️ 買い（政策恩恵）,1750.0,5.89,0.01,0.1328381246382404,2.31,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
9,6208.T,石川製作所,71.0,80,45,90,🏛️ 買い（政策恩恵）,2690.0,91.3,0.03,0.03218271476771347,3.5,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠信用過熱(3.5倍) / ⚠ペナルティ2件
10,7164.T,全国保証,70.9,78,66,68,📈 買い,3216.0,12.9,0.02,0.1627999517665501,1.08,finance,GC形成中 / 75日MA上 / 割安
11,6857.T,アドバンテスト,70.6,68,58,84,🏛️ 買い（政策恩恵）,26850.0,27.35,0.07,0.24891125623731583,1.8,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
12,6952.T,カシオ計算機,69.5,70,45,90,👀 監視・買い検討,1571.5,42.1,0.02,0.056697892824276175,1.7,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
13,1803.T,清水建設,69.4,75,62,76,👀 監視・買い検討,3493.0,8.9,0.01,0.09395139790077497,4.45,infrastructure,政策(infrastructure) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠信用過熱(4.5倍) / ⚠ペナルティ2件
14,2986.T,LAホールディングス,69.3,83,67,72,👀 監視・買い検討,9970.0,6.8,0.01,0.1495038388997936,90.36,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(90.4倍) / ⚠ペナルティ1件
15,5857.T,AREホールディングス,69.3,76,75,72,👀 監視・買い検討,4555.0,6.5,0.02,0.2627600788535591,86.19,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(86.2倍) / ⚠ペナルティ1件
16,6479.T,ミネベアミツミ,69.0,83,45,90,👀 監視・買い検討,3364.0,29.8,0.03,0.08591327323386702,9.94,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(9.9倍) / ⚠ペナルティ1件
17,4578.T,大塚ホールディングス,68.7,83,52,60,👀 監視・買い検討,10710.0,16.2,0.01,0.07997138808286659,0.81,medical,GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
18,7203.T,トヨタ自動車,68.5,73,57,74,👀 監視・買い検討,3825.0,10.7,0.01,0.09593268350803799,2.9,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 割安
19,1802.T,大林組,68.3,76,67,76,👀 監視・買い検討,4416.0,7.4,0.01,0.10268415422789895,10.35,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(10.3倍) / ⚠ペナルティ1件
20,3482.T,ロードスターキャピタル,67.5,71,75,72,👀 監視・買い検討,3785.0,5.9,0.02,0.3496956352804041,64.13,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(64.1倍) / ⚠ペナルティ1件
21,5711.T,三菱マテリアル,67.4,76,52,72,👀 監視・買い検討,6006.0,13.8,0.01,0.03972532283843918,2.81,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
22,7013.T,IHI,67.3,78,45,90,👀 監視・買い検討,4303.0,25.47,0.01,0.04353174695530457,5.58,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(5.6倍) / ⚠ペナルティ1件
23,7721.T,東京計器,67.3,78,45,90,👀 監視・買い検討,8770.0,16.37,0.0,0.02958765146059676,3.53,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(3.5倍) / ⚠ペナルティ1件
24,1861.T,熊谷組,67.2,73,67,76,👀 監視・買い検討,2020.0,7.8,0.01,0.10940885647144993,7.79,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(7.8倍) / ⚠ペナルティ1件
25,4275.T,カーリットHD,66.9,71,52,90,👀 監視・買い検討,3030.0,14.1,0.01,0.042481968457742346,4.27,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(4.3倍) / ⚠ペナルティ1件
26,6503.T,三菱電機,66.9,71,52,90,👀 監視・買い検討,5991.0,18.7,0.01,0.06727905661895674,13.67,"defense, green_energy","🏛️政策主力(defense, green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(13.7倍) / ⚠ペナルティ1件"
27,7388.T,FPパートナー,66.8,76,50,72,👀 監視・買い検討,2441.0,,,0.28737790219180454,1.96,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
28,6501.T,日立製作所,66.5,73,67,74,👀 監視・買い検討,5226.0,9.6,0.01,0.1125138844277283,27.08,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(27.1倍) / ⚠ペナルティ1件
29,6203.T,豊和工業,66.3,65,57,90,👀 監視・買い検討,1853.0,11.1,0.01,0.06007198709196972,7.5,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(7.5倍) / ⚠ペナルティ1件
30,7685.T,BuySell Technologies,66.3,67,49,72,👀 監視・買い検討,5900.0,72.1,0.13,0.1740005296510793,,startup_growth,政策(startup_growth) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
31,8750.T,第一生命HD,66.0,76,52,68,👀 監視・買い検討,1611.0,5.8,0.0,0.07567448262778054,2.37,finance,GC形成中 / 75日MA上
32,4063.T,信越化学工業,66.0,76,50,84,👀 監視・買い検討,6168.0,26.3,0.03,0.10175620317845234,6.29,"semiconductor, rare_earth","🏛️政策主力(semiconductor, rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(6.3倍) / ⚠ペナルティ1件"
33,6723.T,ルネサスエレクトロニクス,65.9,80,45,84,👀 監視・買い検討,2969.0,40.7,0.03,0.07398398899953137,7.27,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(7.3倍) / ⚠ペナルティ1件
34,5253.T,カバー,65.8,73,50,72,👀 監視・買い検討,1745.0,,,0.5515370705244123,2.37,startup_growth,政策(startup_growth) / 75日MA上
35,7011.T,三菱重工業,65.5,73,45,90,👀 監視・買い検討,5014.0,28.52,0.01,0.029742919415490413,7.75,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(7.8倍) / ⚠ペナルティ1件
36,9279.T,ギフトホールディングス,65.3,76,35,72,👀 監視・買い検討,4215.0,163.7,0.06,0.036249674216268915,0.57,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 信用良好(0.6倍) / ⚠ペナルティ1件
37,9519.T,レノバ,65.2,77,58,74,👀 監視・買い検討,740.0,24.9,0.19,0.7544584316810911,19.48,"green_energy, startup_growth",政策(green_energy) / 75日MA上 / ⚠信用過熱(19.5倍) / ⚠ペナルティ1件
38,9531.T,東京ガス,65.0,63,47,74,👀 監視・買い検討,7656.0,21.9,0.01,0.04201495241756777,0.98,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 信用良好(1.0倍) / ⚠ペナルティ1件
39,3498.T,霞ヶ関キャピタル,64.8,75,61,72,👀 監視・買い検討,7810.0,17.54,0.03,0.1616388096208724,16.43,startup_growth,政策(startup_growth) / 75日MA上 / ⚠信用過熱(16.4倍) / ⚠ペナルティ1件
40,8001.T,伊藤忠商事,64.7,78,62,68,👀 監視・買い検討,2270.0,13.29,0.01,0.1037230249286866,7.41,finance,GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(7.4倍) / ⚠ペナルティ1件
41,4183.T,三井化学,64.6,78,57,72,👀 監視・買い検討,2380.0,11.73,0.01,0.0951982247693368,9.3,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(9.3倍) / ⚠ペナルティ1件
42,6030.T,アドベンチャー,64.5,67,53,72,👀 監視・買い検討,1907.0,60.7,0.22,0.3679506311078882,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
43,4062.T,イビデン,64.5,70,45,90,👀 監視・買い検討,9537.0,27.67,0.02,0.07984142321422469,3.11,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(3.1倍) / ⚠ペナルティ1件
44,6920.T,レーザーテック,64.4,69,53,84,👀 監視・買い検討,33660.0,101.1,0.35,0.34880771182141046,6.83,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(6.8倍) / ⚠ペナルティ1件
45,5713.T,住友金属鉱山,63.9,76,57,72,👀 監視・買い検討,12625.0,13.88,0.01,0.08492867101226925,7.99,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(8.0倍) / ⚠ペナルティ1件
46,4208.T,UBE,63.5,73,57,74,👀 監視・買い検討,2888.5,10.4,0.01,0.06025720178123399,14.66,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(14.7倍) / ⚠ペナルティ1件
47,7735.T,SCREENホールディングス,63.4,73,45,84,👀 監視・買い検討,22925.0,29.9,0.02,0.07271227726950151,3.65,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(3.6倍) / ⚠ペナルティ1件
48,7741.T,HOYA,63.0,78,49,60,👀 監視・買い検討,28265.0,38.7,0.07,0.18200726744186047,1.27,medical,GC形成中 / 75日MA上
49,9433.T,KDDI,62.6,62,62,78,👀 監視・買い検討,2671.0,11.95,0.02,0.1368769591488575,3.6,ai_digital,政策(ai_digital) / 割安 / ⚠信用過熱(3.6倍) / ⚠ペナルティ1件
50,8411.T,みずほFG,62.4,80,52,68,👀 監視・買い検討,7151.0,8.6,0.0,0.05031078676213846,8.12,finance,GC形成中 / 75日MA上 / ⚠信用過熱(8.1倍) / ⚠ペナルティ1件
51,6758.T,ソニーグループ,62.4,52,66,84,👀 監視・買い検討,3643.0,13.9,0.02,0.15412531961307974,32.4,semiconductor,🏛️政策主力(semiconductor) / 割安 / ⚠信用過熱(32.4倍) / ⚠ペナルティ1件
52,9719.T,SCSK,62.1,65,57,78,👀 監視・買い検討,5680.0,20.4,0.03,0.14737255040242603,46.0,ai_digital,政策(ai_digital) / 75日MA上 / ⚠信用過熱(46.0倍) / ⚠ペナルティ1件
53,4042.T,東ソー,62.1,71,57,72,👀 監視・買い検討,2729.5,10.7,0.01,0.09562945174321688,3.25,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(3.2倍) / ⚠ペナルティ1件
54,5714.T,DOWAホールディングス,62.1,71,57,72,👀 監視・買い検討,11550.0,12.56,0.01,0.07886814954014058,10.01,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(10.0倍) / ⚠ペナルティ1件
55,4519.T,中外製薬,61.8,71,53,60,👀 監視・買い検討,10455.0,42.12,0.09,0.21911463536336112,2.54,medical,GC形成中 / 75日MA上
56,1811.T,前田建設工業,61.5,78,42,76,👀 監視・買い検討,9760.0,11.5,0.0,0.043146663807200496,45.47,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(45.5倍) / ⚠ペナルティ1件
57,5444.T,大和工業,61.1,83,35,76,👀 監視・買い検討,13005.0,43.6,0.01,0.015297869532254748,4.8,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(4.8倍) / ⚠ペナルティ1件
58,6196.T,ストライク,61.0,71,53,72,👀 監視・買い検討,4605.0,33.6,0.09,0.26393119956778843,25.78,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(25.8倍) / ⚠ペナルティ1件
59,8725.T,MS&AD,61.0,76,52,68,👀 監視・買い検討,4376.0,12.7,0.01,0.046182871993953926,7.68,finance,GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(7.7倍) / ⚠ペナルティ1件
60,8306.T,三菱UFJ,60.9,80,47,68,👀 監視・買い検討,2968.5,9.8,0.0,0.043859038621984314,9.71,finance,GC形成中 / 75日MA上 / ⚠信用過熱(9.7倍) / ⚠ペナルティ1件
61,5801.T,古河電気工業,60.6,61,47,72,👀 監視・買い検討,28100.0,20.93,0.01,0.03427065628598059,1.97,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
62,7157.T,ライフネット生命保険,60.5,71,35,72,👀 監視・買い検討,2234.0,,,-0.19701379223079843,2.18,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
63,3407.T,旭化成,60.3,66,52,76,👀 監視・買い検討,1844.5,22.17,0.01,0.05337312274386347,10.23,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(10.2倍) / ⚠ペナルティ1件
64,3436.T,SUMCO,60.3,76,45,72,👀 監視・買い検討,1827.5,25.87,0.02,0.07184446328622575,6.18,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(6.2倍) / ⚠ペナルティ1件
65,7047.T,ポート,60.2,80,40,72,👀 監視・買い検討,2407.0,53.4,0.04,0.0791295746785361,275.49,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(275.5倍) / ⚠ペナルティ1件
66,3182.T,オイシックス・ラ・大地,60.0,58,65,72,👀 監視・買い検討,1431.0,21.7,0.05,0.2516632484618078,15.34,startup_growth,政策(startup_growth) / ⚠信用過熱(15.3倍) / ⚠ペナルティ1件
67,5020.T,ENEOSホールディングス,59.6,66,52,74,⏸️ 様子見,1488.0,14.14,0.01,0.049029120367742055,5.11,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(5.1倍) / ⚠ペナルティ1件
68,8316.T,三井住友FG,59.4,80,42,68,⏸️ 様子見,5997.0,10.71,0.0,0.043096900373357665,11.7,finance,GC形成中 / 75日MA上 / ⚠信用過熱(11.7倍) / ⚠ペナルティ1件
69,5592.T,5592.T,59.1,54,50,72,⏸️ 様子見,2699.0,,,0.7504057661935508,,startup_growth,政策(startup_growth)
70,9158.T,シーユーシー,59.0,68,50,72,⏸️ 様子見,999.0,,,0.23236163920574568,42.46,startup_growth,政策(startup_growth) / 75日MA上 / ⚠信用過熱(42.5倍) / ⚠ペナルティ1件
71,8591.T,オリックス,58.6,65,57,68,⏸️ 様子見,5543.0,12.0,0.01,0.06352544002620478,16.85,finance,GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(16.9倍) / ⚠ペナルティ1件
72,4502.T,武田薬品工業,58.6,63,52,60,⏸️ 様子見,5819.0,16.6,0.01,0.07262741837878056,2.52,medical,GC形成中 / 75日MA上
73,4051.T,GMOフィナンシャルゲート,58.5,75,40,72,⏸️ 様子見,5290.0,333.9,0.31,0.09399896262004702,273.17,startup_growth,政策(startup_growth) / 75日MA上 / ⚠信用過熱(273.2倍) / ⚠ペナルティ1件
74,8789.T,フィンテック グローバル,58.0,78,35,72,⏸️ 様子見,155.0,86.1,0.02,0.017583531385432685,21.59,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(21.6倍) / ⚠ペナルティ1件
75,4523.T,エーザイ,57.5,56,45,84,⏸️ 様子見,5241.0,50.7,0.03,0.05978041650453748,10.06,"semiconductor, medical","🏛️政策主力(semiconductor, medical) / GC形成中 / 75日MA上 / ⚠信用過熱(10.1倍) / ⚠ペナルティ1件"
76,5802.T,住友電気工業,57.4,66,47,72,⏸️ 様子見,10375.0,22.9,0.01,0.029772164526823165,8.84,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(8.8倍) / ⚠ペナルティ1件
77,4565.T,ネクセラファーマ,57.3,76,35,72,⏸️ 様子見,966.0,95.9,0.03,0.02823542887688284,22.98,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(23.0倍) / ⚠ペナルティ1件
78,7003.T,三井E&S,56.9,73,35,74,⏸️ 様子見,7876.0,333.9,0.01,0.0015144665461121157,5.27,"green_energy, rare_earth",政策(green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(5.3倍) / ⚠ペナルティ1件
79,4384.T,ラクスル,56.8,66,35,72,⏸️ 様子見,1898.0,917.05,0.18,0.02001000500250125,16.06,startup_growth,政策(startup_growth) / RSI底値圏 / 出来高急増 / 75日MA上 / ⚠信用過熱(16.1倍) / ⚠ペナルティ2件
80,7012.T,川崎重工業,56.6,76,45,90,⏸️ 様子見,18255.0,,,-0.04183093654386276,5.72,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(5.7倍) / ⚠ペナルティ2件
81,3915.T,テラスカイ,56.5,25,65,72,⏸️ 様子見,1786.0,18.89,0.04,0.23527149768602018,2.31,startup_growth,政策(startup_growth) / RSI底値圏 / 出来高急増 / ⚠ペナルティ1件
82,8113.T,ユニ・チャーム,56.4,63,45,74,⏸️ 様子見,1069.5,55.8,0.06,0.10617401146445653,7.85,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(7.8倍) / ⚠ペナルティ1件
83,3491.T,GA technologies,56.3,47,49,72,⏸️ 様子見,1687.0,92.48,0.14,0.152250885179565,,startup_growth,政策(startup_growth)
84,4483.T,JMDC,56.0,68,40,72,⏸️ 様子見,4175.0,112.15,0.1,0.08764601769911505,4.69,startup_growth,政策(startup_growth) / 75日MA上 / ⚠信用過熱(4.7倍) / ⚠ペナルティ1件
85,4592.T,サンバイオ,55.9,72,35,72,⏸️ 様子見,2258.0,,,-0.40549765417054645,710.47,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(710.5倍) / ⚠ペナルティ1件
86,6701.T,NEC,55.9,31,62,90,⏸️ 様子見,4334.0,11.7,0.01,0.11436447321448365,50.21,"defense, ai_digital","🏛️政策主力(defense, ai_digital) / 割安 / ⚠信用過熱(50.2倍) / ⚠ペナルティ1件"
87,5541.T,大平洋金属,55.5,71,35,72,⏸️ 様子見,3815.0,35.98,0.01,0.017339660369475034,8.04,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(8.0倍) / ⚠ペナルティ1件
88,4021.T,日産化学,55.3,66,54,60,⏸️ 様子見,7107.0,25.5,0.04,0.16684030287471774,4.17,medical,GC形成中 / 75日MA上 / ⚠信用過熱(4.2倍) / ⚠ペナルティ1件
89,5019.T,出光興産,55.3,66,40,72,⏸️ 様子見,1491.0,24.3,0.01,0.02873752403023201,7.36,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(7.4倍) / ⚠ペナルティ1件
90,4431.T,スマレジ,55.1,35,49,72,⏸️ 様子見,2541.0,100.5,0.16,0.15881981117501018,1.55,startup_growth,政策(startup_growth) / 出来高急増 / ⚠ペナルティ1件
91,5411.T,JFEホールディングス,55.1,80,35,76,⏸️ 様子見,2200.5,85.5,,-0.01302268966063471,2.93,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
92,7762.T,シチズン時計,54.8,71,45,90,⏸️ 様子見,1913.0,,,-0.11825860643415514,11.37,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(11.4倍) / ⚠ペナルティ2件
93,3496.T,アズーム,54.6,53,53,72,⏸️ 様子見,4500.0,42.9,0.11,0.25192815355120757,634.11,startup_growth,政策(startup_growth) / ⚠信用過熱(634.1倍) / ⚠ペナルティ1件
94,6367.T,ダイキン工業,54.6,62,40,74,⏸️ 様子見,19915.0,41.8,0.04,0.09204469542288991,5.06,green_energy,政策(green_energy) / 75日MA上 / ⚠信用過熱(5.1倍) / ⚠ペナルティ1件
95,6200.T,インソース,54.3,52,53,72,⏸️ 様子見,728.0,58.2,0.2,0.3491226604426605,34.59,startup_growth,政策(startup_growth) / ⚠信用過熱(34.6倍) / ⚠ペナルティ1件
96,7806.T,MTG,53.8,66,35,72,⏸️ 様子見,5750.0,39.54,0.02,0.04556455227225194,4.82,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(4.8倍) / ⚠ペナルティ1件
97,4575.T,キャンバス,53.7,80,35,72,⏸️ 様子見,881.0,,,-1.2124839030805623,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
98,9348.T,ispace,53.0,78,35,72,⏸️ 様子見,617.0,,,-0.35687576639078306,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
99,4071.T,4071.T,52.9,48,53,72,⏸️ 様子見,2240.0,80.4,0.23,0.29115537468662256,6.38,startup_growth,政策(startup_growth) / ⚠信用過熱(6.4倍) / ⚠ペナルティ1件
100,3923.T,ラクス,52.9,48,53,72,⏸️ 様子見,872.8,131.69,0.49,0.37439428717163986,6.27,startup_growth,政策(startup_growth) / ⚠信用過熱(6.3倍) / ⚠ペナルティ1件
101,2980.T,SREホールディングス,52.5,58,40,72,⏸️ 様子見,2920.0,104.93,0.09,0.08464854889416562,50.01,startup_growth,政策(startup_growth) / ⚠信用過熱(50.0倍) / ⚠ペナルティ1件
102,3989.T,シェアリングテクノロジー,52.3,76,35,72,⏸️ 様子見,1234.0,,,-5.8623852249930595,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
103,6702.T,富士通,52.1,20,62,90,⏸️ 様子見,3588.0,15.78,0.02,0.13103584253719525,24.86,defense,🏛️政策主力(defense) / ⚠信用過熱(24.9倍) / ⚠ペナルティ1件
104,3993.T,PKSHA Technology,51.0,58,35,72,⏸️ 様子見,3415.0,418.8,0.02,0.004855273967393742,6.11,startup_growth,政策(startup_growth) / 75日MA上 / ⚠信用過熱(6.1倍) / ⚠ペナルティ1件
105,4004.T,レゾナックHD,50.9,66,42,72,⏸️ 様子見,11930.0,11.7,,-0.10626114081996435,2.33,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
106,7095.T,Macbee Planet,50.9,28,53,72,⏸️ 様子見,1460.0,36.84,0.11,0.2892649391856161,,startup_growth,政策(startup_growth)
107,7059.T,コプロ・ホールディングス,50.8,31,66,72,⏸️ 様子見,986.0,13.6,0.02,0.1608919517594695,54.51,startup_growth,政策(startup_growth) / GC形成中 / 割安 / ⚠信用過熱(54.5倍) / ⚠ペナルティ1件
108,5254.T,Arent,50.5,71,35,72,⏸️ 様子見,4395.0,,,-0.023186615431215217,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
109,7270.T,SUBARU,50.4,28,47,90,⏸️ 様子見,2966.5,22.09,0.01,0.043037910599723804,9.14,defense,🏛️政策主力(defense) / ⚠信用過熱(9.1倍) / ⚠ペナルティ1件
110,4704.T,トレンドマイクロ,49.3,30,45,78,💼 保有継続,5200.0,30.72,0.04,0.1420785804816223,15.31,ai_digital,政策(ai_digital) / 出来高急増 / ⚠信用過熱(15.3倍) / ⚠ペナルティ2件
111,4480.T,メドレー,49.2,30,35,72,💼 保有継続,1984.0,289.36,0.14,0.04682515179582176,1.1,startup_growth,政策(startup_growth) / 出来高急増 / ⚠ペナルティ1件
112,9211.T,エフ・コード,49.0,25,50,72,💼 保有継続,1581.0,,,0.7148518688131892,,startup_growth,政策(startup_growth) / GC形成中
113,9432.T,NTT,48.9,23,62,78,💼 保有継続,153.3,11.5,0.01,0.12114458486888359,55.03,ai_digital,政策(ai_digital) / 割安 / ⚠信用過熱(55.0倍) / ⚠ペナルティ1件
114,6526.T,ソシオネクスト,48.8,31,45,84,💼 保有継続,2023.5,,,0.01798569959351584,13.53,semiconductor,🏛️政策主力(semiconductor) / ⚠信用過熱(13.5倍) / ⚠ペナルティ1件
