ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,4274.T,4274.T,75.3,78,45,90,🏛️ 買い（政策恩恵）,1542.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
2,7013.T,7013.T,74.0,83,45,90,🏛️ 買い（政策恩恵）,4384.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
3,7980.T,7980.T,73.5,73,45,90,🏛️ 買い（政策恩恵）,918.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
4,8035.T,8035.T,71.9,83,45,84,🏛️ 買い（政策恩恵）,43960.0,,,,,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
5,4275.T,4275.T,71.6,76,45,90,🏛️ 買い（政策恩恵）,2669.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
6,7721.T,7721.T,71.6,76,45,90,🏛️ 買い（政策恩恵）,8780.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
7,6503.T,6503.T,71.6,76,45,90,🏛️ 買い（政策恩恵）,5850.0,,,,,"defense, green_energy","🏛️政策主力(defense, green_energy) / GC形成中 / 75日MA上"
8,4063.T,4063.T,70.2,78,45,84,🏛️ 買い（政策恩恵）,5750.0,,,,,"semiconductor, rare_earth","🏛️政策主力(semiconductor, rare_earth) / GC形成中 / 75日MA上"
9,6203.T,6203.T,69.8,71,45,90,👀 監視・買い検討,2000.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
10,6208.T,6208.T,69.8,71,45,90,👀 監視・買い検討,2899.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
11,7011.T,7011.T,69.5,70,45,90,👀 監視・買い検討,4965.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
12,4062.T,4062.T,68.8,68,45,90,👀 監視・買い検討,9157.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
13,7033.T,7033.T,68.8,85,36,72,👀 監視・買い検討,1382.0,,,,,startup_growth,政策(startup_growth) / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
14,6952.T,6952.T,68.8,68,45,90,👀 監視・買い検討,1604.5,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
15,7047.T,7047.T,68.0,83,36,72,👀 監視・買い検討,2513.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
16,5444.T,5444.T,66.4,83,36,76,👀 監視・買い検討,12755.0,,,,,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上
17,7685.T,7685.T,66.3,78,36,72,👀 監視・買い検討,6200.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
18,9719.T,9719.T,66.1,80,36,78,👀 監視・買い検討,5670.0,,,,,ai_digital,政策(ai_digital) / GC形成中 / 75日MA上
19,7735.T,7735.T,66.0,66,45,84,👀 監視・買い検討,21980.0,,,,,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
20,3436.T,3436.T,65.4,84,36,72,👀 監視・買い検討,1614.0,,,,,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
21,7012.T,7012.T,65.3,58,45,90,👀 監視・買い検討,17915.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
22,5713.T,5713.T,65.0,83,36,72,👀 監視・買い検討,10010.0,,,,,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
23,5541.T,5541.T,65.0,83,36,72,👀 監視・買い検討,3090.0,,,,,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
24,9348.T,9348.T,65.0,83,36,72,👀 監視・買い検討,601.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
25,6146.T,6146.T,64.9,63,45,84,👀 監視・買い検討,74060.0,,,,,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
26,1811.T,1811.T,64.7,78,36,76,👀 監視・買い検討,9180.0,,,,,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上
27,6857.T,6857.T,64.6,62,45,84,👀 監視・買い検討,25475.0,,,,,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
28,6723.T,6723.T,64.6,62,45,84,👀 監視・買い検討,2908.0,,,,,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
29,9338.T,9338.T,64.5,73,36,72,👀 監視・買い検討,4545.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
30,4523.T,4523.T,64.2,61,45,84,👀 監視・買い検討,5114.0,,,,,"semiconductor, medical","🏛️政策主力(semiconductor, medical) / 75日MA上"
31,1801.T,1801.T,64.0,76,36,76,👀 監視・買い検討,18795.0,,,,,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上
32,1812.T,1812.T,63.6,75,36,76,👀 監視・買い検討,7085.0,,,,,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上
33,7157.T,7157.T,63.6,79,36,72,👀 監視・買い検討,2091.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
34,5857.T,5857.T,63.3,78,36,72,👀 監視・買い検討,4245.0,,,,,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
35,9279.T,9279.T,63.3,78,36,72,👀 監視・買い検討,3920.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
36,4565.T,4565.T,63.3,78,36,72,👀 監視・買い検討,897.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
37,7762.T,7762.T,62.8,51,45,90,👀 監視・買い検討,1727.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
38,3482.T,3482.T,62.8,68,36,72,👀 監視・買い検討,3560.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
39,6196.T,6196.T,62.6,76,36,72,👀 監視・買い検討,4360.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
40,5254.T,5254.T,62.6,76,36,72,👀 監視・買い検討,4040.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
41,5401.T,5401.T,62.6,74,36,74,👀 監視・買い検討,673.9,,,,,green_energy,政策(green_energy) / GC形成中 / 75日MA上
42,4592.T,4592.T,62.5,67,36,72,👀 監視・買い検討,2258.0,,,,,startup_growth,政策(startup_growth) / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
43,8113.T,8113.T,62.2,73,36,74,👀 監視・買い検討,1065.0,,,,,green_energy,政策(green_energy) / GC形成中 / 75日MA上
44,4483.T,4483.T,62.2,75,36,72,👀 監視・買い検討,3960.0,,,,,startup_growth,政策(startup_growth) / 75日MA上
45,5253.T,5253.T,61.9,74,36,72,👀 監視・買い検討,1690.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
46,5411.T,5411.T,61.9,70,36,76,👀 監視・買い検討,2249.5,,,,,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上
47,6030.T,6030.T,61.8,65,36,72,👀 監視・買い検討,1971.0,,,,,startup_growth,政策(startup_growth) / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
48,4042.T,4042.T,61.5,73,36,72,👀 監視・買い検討,2640.0,,,,,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
49,7003.T,7003.T,61.5,71,36,74,👀 監視・買い検討,8090.0,,,,,"green_energy, rare_earth",政策(green_energy) / GC形成中 / 75日MA上
50,3479.T,3479.T,61.5,73,36,72,👀 監視・買い検討,2370.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
51,5714.T,5714.T,61.5,73,36,72,👀 監視・買い検討,10140.0,,,,,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
52,3407.T,3407.T,61.2,68,36,76,👀 監視・買い検討,1740.0,,,,,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上
