ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,6920.T,レーザーテック,75.0,78,61,84,🏛️ 買い（政策恩恵）,35850.0,,,46.9,2.57,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
2,9279.T,ギフトホールディングス,70.5,71,58,72,🏛️ 買い（政策恩恵）,4580.0,,,23.4,0.86,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 信用良好(0.9倍) / ⚠ペナルティ1件
3,7164.T,全国保証,69.6,83,46,68,👀 監視・買い検討,3190.0,,,,0.3,finance,GC形成中 / 75日MA上 / 信用良好(0.3倍) / ⚠ペナルティ1件
4,7011.T,三菱重工業,69.4,84,45,90,👀 監視・買い検討,4881.0,,,,8.15,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(8.2倍) / ⚠ペナルティ1件
5,9519.T,レノバ,68.3,90,43,74,👀 監視・買い検討,812.0,,,,6.8,"green_energy, startup_growth",政策(green_energy) / GC形成中 / 出来高急増 / 75日MA上 / ⚠信用過熱(6.8倍) / ⚠ペナルティ2件
6,3989.T,シェアリングテクノロジー,68.0,70,61,72,👀 監視・買い検討,1204.0,,,31.24,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
7,5253.T,カバー,67.7,69,61,72,👀 監視・買い検討,1637.0,,,39.6,2.76,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
8,4274.T,細谷火工,66.7,62,45,90,👀 監視・買い検討,1469.0,,,,,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
9,7685.T,BuySell Technologies,66.4,68,58,72,👀 監視・買い検討,6730.0,,,23.43,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
10,1662.T,石油資源開発,65.1,76,61,72,👀 監視・買い検討,2654.0,3.69,,,16.95,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(16.9倍) / ⚠ペナルティ1件
11,7980.T,重松製作所,64.5,70,45,90,👀 監視・買い検討,1034.0,,,,864.25,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(864.2倍) / ⚠ペナルティ1件
12,7157.T,ライフネット生命保険,64.4,70,49,72,👀 監視・買い検討,2187.0,,,,1.5,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
13,4578.T,大塚ホールディングス,63.8,83,46,60,👀 監視・買い検討,11050.0,,,,1.05,medical,GC形成中 / 75日MA上
14,4063.T,信越化学工業,62.9,68,49,84,👀 監視・買い検討,6433.0,,,,4.81,"semiconductor, rare_earth","🏛️政策主力(semiconductor, rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(4.8倍) / ⚠ペナルティ1件"
15,7806.T,MTG,62.8,68,46,72,👀 監視・買い検討,6110.0,,,,2.73,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
16,6857.T,アドバンテスト,62.4,42,61,84,👀 監視・買い検討,23545.0,,,34.4,1.95,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
17,6146.T,ディスコ,62.4,42,61,84,👀 監視・買い検討,67350.0,,,27.6,1.91,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
18,4051.T,GMOフィナンシャルゲート,62.1,70,58,72,👀 監視・買い検討,5410.0,,,27.5,148.75,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(148.8倍) / ⚠ペナルティ1件
19,5254.T,Arent,61.6,62,49,72,👀 監視・買い検討,4285.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
20,9531.T,東京ガス,61.4,56,43,74,👀 監視・買い検討,7538.0,,,,0.74,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 信用良好(0.7倍) / ⚠ペナルティ1件
21,4502.T,武田薬品工業,61.2,78,43,60,👀 監視・買い検討,5820.0,,,,2.87,medical,GC形成中 / 75日MA上
22,4071.T,プレイド,61.1,62,64,72,👀 監視・買い検討,2211.0,,,24.26,3.22,startup_growth,政策(startup_growth) / ⚠信用過熱(3.2倍) / ⚠ペナルティ1件
23,5801.T,古河電気工業,60.8,65,43,72,👀 監視・買い検討,27440.0,,,,2.27,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
24,9338.T,INFORICH,60.5,51,58,72,👀 監視・買い検討,4550.0,,,27.5,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
25,5019.T,出光興産,60.4,78,43,72,👀 監視・買い検討,1478.0,,,,6.04,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(6.0倍) / ⚠ペナルティ1件
26,7047.T,ポート,60.3,65,58,72,👀 監視・買い検討,2358.0,,,24.7,453.57,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(453.6倍) / ⚠ペナルティ1件
27,6503.T,三菱電機,60.2,57,46,90,👀 監視・買い検討,5459.0,,,,16.35,"defense, green_energy","🏛️政策主力(defense, green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(16.4倍) / ⚠ペナルティ1件"
28,9432.T,NTT,60.0,71,43,78,👀 監視・買い検討,157.3,,,,42.31,ai_digital,政策(ai_digital) / 75日MA上 / ⚠信用過熱(42.3倍) / ⚠ペナルティ1件
29,7741.T,HOYA,59.8,56,64,60,⏸️ 様子見,27680.0,,,20.8,1.61,medical,GC形成中 / 75日MA上
30,7762.T,シチズン時計,59.5,49,53,90,⏸️ 様子見,1668.0,,,,13.95,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(13.9倍) / ⚠ペナルティ1件
31,7013.T,IHI,59.3,44,58,90,⏸️ 様子見,3781.0,,,26.29,12.17,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(12.2倍) / ⚠ペナルティ1件
32,5706.T,三井金属鉱業,59.3,38,86,72,⏸️ 様子見,30110.0,3.84,0.81,21.2,3.33,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(3.3倍) / ⚠ペナルティ1件
33,6952.T,カシオ計算機,59.3,40,46,90,⏸️ 様子見,1408.0,,,,2.57,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
34,6027.T,弁護士ドットコム,59.1,36,61,72,⏸️ 様子見,2780.0,,,22.1,0.85,startup_growth,政策(startup_growth) / 信用良好(0.8倍) / ⚠ペナルティ1件
35,4384.T,ラクスル,58.5,49,54,72,⏸️ 様子見,1887.0,,,18.9,1.88,startup_growth,政策(startup_growth) / RSI底値圏 / 75日MA上
36,4523.T,エーザイ,57.9,57,45,84,⏸️ 様子見,4862.0,,,,13.16,"semiconductor, medical","🏛️政策主力(semiconductor, medical) / GC形成中 / 75日MA上 / ⚠信用過熱(13.2倍) / ⚠ペナルティ1件"
37,5243.T,note,57.6,70,43,72,⏸️ 様子見,2313.0,,,,1091.27,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(1091.3倍) / ⚠ペナルティ1件
38,4307.T,野村総合研究所,57.0,47,61,78,⏸️ 様子見,4314.0,,,22.5,16.78,ai_digital,政策(ai_digital) / ⚠信用過熱(16.8倍) / ⚠ペナルティ1件
39,1803.T,清水建設,56.8,41,43,76,⏸️ 様子見,3016.0,,,,0.86,infrastructure,政策(infrastructure) / RSI底値圏 / 75日MA上 / 信用良好(0.9倍) / ⚠ペナルティ1件
40,4413.T,ボードルア,56.7,52,61,72,⏸️ 様子見,1997.0,,,40.8,182.59,startup_growth,政策(startup_growth) / ⚠信用過熱(182.6倍) / ⚠ペナルティ1件
41,9433.T,KDDI,56.4,52,53,78,⏸️ 様子見,2661.0,,,,4.5,ai_digital,政策(ai_digital) / ⚠信用過熱(4.5倍) / ⚠ペナルティ1件
42,7735.T,SCREENホールディングス,56.3,39,61,84,⏸️ 様子見,19440.0,,,25.1,6.96,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(7.0倍) / ⚠ペナルティ1件
43,4419.T,Finatextホールディングス,56.1,54,40,72,⏸️ 様子見,881.0,,,,,startup_growth,政策(startup_growth)
44,8035.T,東京エレクトロン,55.6,37,61,84,⏸️ 様子見,38780.0,,,30.3,5.55,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(5.5倍) / ⚠ペナルティ1件
45,7012.T,川崎重工業,55.4,44,45,90,⏸️ 様子見,16150.0,,,,10.09,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(10.1倍) / ⚠ペナルティ1件
46,7746.T,岡本硝子,55.4,52,40,72,⏸️ 様子見,1085.0,,,,1.86,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
47,4062.T,イビデン,55.4,44,45,90,⏸️ 様子見,8499.0,,,,4.6,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(4.6倍) / ⚠ペナルティ1件
48,7388.T,FPパートナー,55.4,34,61,72,⏸️ 様子見,2272.0,,,31.9,1.91,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
49,3482.T,ロードスターキャピタル,55.3,37,74,72,⏸️ 様子見,3210.0,5.96,1.86,31.2,81.31,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(81.3倍) / ⚠ペナルティ1件
50,7721.T,東京計器,55.0,43,45,90,⏸️ 様子見,8050.0,,,,4.34,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(4.3倍) / ⚠ペナルティ1件
51,5444.T,大和工業,54.5,46,56,76,⏸️ 様子見,12150.0,,,,4.04,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(4.0倍) / ⚠ペナルティ1件
52,9556.T,INTLOOP,54.3,25,58,72,⏸️ 様子見,1958.0,,,25.0,,startup_growth,政策(startup_growth) / RSI底値圏 / 出来高急増 / ⚠ペナルティ1件
53,7003.T,三井E&S,54.0,26,80,74,⏸️ 様子見,6310.0,4.3,1.08,25.1,9.25,"green_energy, rare_earth",政策(green_energy) / GC形成中 / 割安 / ⚠信用過熱(9.2倍) / ⚠ペナルティ1件
54,9211.T,エフ・コード,54.0,43,46,72,⏸️ 様子見,1545.0,,,,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
55,4275.T,カーリットHD,53.6,38,46,90,⏸️ 様子見,2711.0,,,,3.09,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(3.1倍) / ⚠ペナルティ1件
56,7270.T,SUBARU,53.5,25,61,90,⏸️ 様子見,2577.5,5.77,,,12.88,defense,🏛️政策主力(defense) / RSI底値圏 / ⚠信用過熱(12.9倍) / ⚠ペナルティ1件
57,4565.T,ネクセラファーマ,52.6,61,37,72,⏸️ 様子見,910.0,,,,19.39,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(19.4倍) / ⚠ペナルティ1件
58,6208.T,石川製作所,52.2,35,45,90,⏸️ 様子見,2437.0,,,,3.42,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(3.4倍) / ⚠ペナルティ1件
59,4324.T,電通グループ,52.1,28,40,78,⏸️ 様子見,2793.5,,,,0.97,ai_digital,政策(ai_digital) / 信用良好(1.0倍) / ⚠ペナルティ1件
60,4519.T,中外製薬,52.0,48,64,60,⏸️ 様子見,9318.0,,,22.0,5.3,medical,GC形成中 / 75日MA上 / ⚠信用過熱(5.3倍) / ⚠ペナルティ1件
61,6203.T,豊和工業,51.9,34,45,90,⏸️ 様子見,1639.0,,,,5.05,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(5.0倍) / ⚠ペナルティ1件
62,4194.T,ビジョナル,51.8,38,61,72,⏸️ 様子見,7400.0,,,26.7,26.71,startup_growth,政策(startup_growth) / ⚠信用過熱(26.7倍) / ⚠ペナルティ1件
