ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,7980.T,重松製作所,77.4,78,52,90,🏛️ 買い（政策恩恵）,894.0,11.2,,0.11586189247752711,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
2,4274.T,細谷火工,73.5,73,45,90,🏛️ 買い（政策恩恵）,1462.0,36.27,,0.05256058363321358,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
3,8035.T,東京エレクトロン,72.8,83,48,84,🏛️ 買い（政策恩恵）,44380.0,29.95,,0.2371169338702782,2.34,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
4,6857.T,アドバンテスト,71.8,80,48,84,🏛️ 買い（政策恩恵）,26620.0,27.35,,0.24891125623731583,1.6,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
5,4062.T,イビデン,71.6,76,45,90,🏛️ 買い（政策恩恵）,9884.0,27.67,,0.07984142321422469,2.49,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
6,6146.T,ディスコ,70.8,71,45,84,🏛️ 買い（政策恩恵）,75620.0,32.0,,0.15490663834643673,0.81,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
7,5706.T,三井金属鉱業,69.5,71,65,72,👀 監視・買い検討,33040.0,4.9,,0.21253860407659048,1.27,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
8,6952.T,カシオ計算機,68.8,68,45,90,👀 監視・買い検討,1622.0,42.1,,0.056697892824276175,1.38,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
9,6208.T,石川製作所,68.5,73,45,90,👀 監視・買い検討,2712.0,91.3,,0.03218271476771347,4.08,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠信用過熱(4.1倍) / ⚠ペナルティ2件
10,7164.T,全国保証,67.9,78,56,68,👀 監視・買い検討,3176.0,12.9,,0.1627999517665501,1.02,finance,75日MA上
11,9279.T,ギフトホールディングス,67.8,83,35,72,👀 監視・買い検討,4010.0,163.7,,0.036249674216268915,0.52,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 信用良好(0.5倍) / ⚠ペナルティ1件
12,4063.T,信越化学工業,67.8,71,45,84,👀 監視・買い検討,5930.0,26.3,,0.10175620317845234,2.72,"semiconductor, rare_earth","🏛️政策主力(semiconductor, rare_earth) / GC形成中 / 75日MA上"
13,7013.T,IHI,67.3,78,45,90,👀 監視・買い検討,4133.0,25.47,,0.04353174695530457,5.39,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(5.4倍) / ⚠ペナルティ1件
14,5857.T,AREホールディングス,67.0,78,65,72,👀 監視・買い検討,4255.0,6.5,,0.2627600788535591,81.16,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(81.2倍) / ⚠ペナルティ1件
15,8750.T,第一生命HD,66.7,78,52,68,👀 監視・買い検討,1512.0,5.8,,0.07567448262778054,2.46,finance,GC形成中 / 75日MA上
16,6503.T,三菱電機,66.6,76,45,90,👀 監視・買い検討,5916.0,18.7,,0.06727905661895674,12.83,"defense, green_energy","🏛️政策主力(defense, green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(12.8倍) / ⚠ペナルティ1件"
17,7721.T,東京計器,66.6,76,45,90,👀 監視・買い検討,8720.0,16.37,,0.02958765146059676,3.68,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(3.7倍) / ⚠ペナルティ1件
18,4275.T,カーリットHD,66.6,76,45,90,👀 監視・買い検討,2787.0,14.1,,0.042481968457742346,4.67,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(4.7倍) / ⚠ペナルティ1件
19,6030.T,アドベンチャー,66.3,72,43,72,👀 監視・買い検討,1920.0,60.7,,0.3679506311078882,,startup_growth,政策(startup_growth) / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
20,6203.T,豊和工業,66.1,73,47,90,👀 監視・買い検討,1878.0,11.1,,0.06007198709196972,8.17,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(8.2倍) / ⚠ペナルティ1件
21,1801.T,大成建設,65.3,76,57,76,👀 監視・買い検討,19055.0,9.6,,0.10960659387508585,3.1,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(3.1倍) / ⚠ペナルティ1件
22,4042.T,東ソー,64.8,73,47,72,👀 監視・買い検討,2672.0,10.7,,0.09562945174321688,2.96,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
23,1812.T,鹿島建設,64.2,73,57,76,👀 監視・買い検討,6964.0,8.1,,0.11134870242742477,10.24,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(10.2倍) / ⚠ペナルティ1件
24,7157.T,ライフネット生命保険,63.3,79,35,72,👀 監視・買い検討,2100.0,,,-0.19701379223079843,2.41,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
25,7203.T,トヨタ自動車,62.8,65,47,74,👀 監視・買い検討,3656.0,10.7,,0.09593268350803799,2.03,green_energy,政策(green_energy) / GC形成中 / 75日MA上
26,1803.T,清水建設,62.8,73,52,76,👀 監視・買い検討,3490.0,8.9,,0.09395139790077497,4.09,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(4.1倍) / ⚠ペナルティ1件
27,7011.T,三菱重工業,62.8,65,45,90,👀 監視・買い検討,4811.0,28.52,,0.029742919415490413,6.25,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(6.2倍) / ⚠ペナルティ1件
28,5711.T,三菱マテリアル,62.6,71,42,72,👀 監視・買い検討,5437.0,13.8,,0.03972532283843918,2.52,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
29,1802.T,大林組,62.5,68,57,76,👀 監視・買い検討,4181.0,7.4,,0.10268415422789895,8.67,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(8.7倍) / ⚠ペナルティ1件
30,7741.T,HOYA,62.3,76,39,60,👀 監視・買い検討,29100.0,38.7,,0.18200726744186047,0.99,medical,GC形成中 / 75日MA上 / 信用良好(1.0倍) / ⚠ペナルティ1件
31,1811.T,前田建設工業,62.2,80,42,76,👀 監視・買い検討,9380.0,11.5,,0.043146663807200496,46.61,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(46.6倍) / ⚠ペナルティ1件
32,8001.T,伊藤忠商事,61.7,78,52,68,👀 監視・買い検討,2192.5,13.29,,0.1037230249286866,3.81,finance,GC形成中 / 75日MA上 / ⚠信用過熱(3.8倍) / ⚠ペナルティ1件
33,7047.T,ポート,61.7,80,35,72,👀 監視・買い検討,2330.0,53.4,,0.0791295746785361,701.56,startup_growth,政策(startup_growth) / GC形成中 / 出来高急増 / 75日MA上 / ⚠信用過熱(701.6倍) / ⚠ペナルティ2件
34,7735.T,SCREENホールディングス,61.7,68,45,84,👀 監視・買い検討,21725.0,29.9,,0.07271227726950151,3.7,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(3.7倍) / ⚠ペナルティ1件
35,5713.T,住友金属鉱山,61.6,78,47,72,👀 監視・買い検討,10810.0,13.88,,0.08492867101226925,7.77,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(7.8倍) / ⚠ペナルティ1件
36,8789.T,フィンテック グローバル,61.5,88,35,72,👀 監視・買い検討,151.0,86.1,,0.017583531385432685,19.68,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(19.7倍) / ⚠ペナルティ1件
37,6479.T,ミネベアミツミ,61.3,61,45,90,👀 監視・買い検討,3319.0,29.8,,0.08591327323386702,6.41,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(6.4倍) / ⚠ペナルティ1件
38,5801.T,古河電気工業,61.1,71,37,72,👀 監視・買い検討,26910.0,20.93,,0.03427065628598059,1.73,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上
39,5444.T,大和工業,61.1,83,35,76,👀 監視・買い検討,12845.0,43.6,,0.015297869532254748,4.3,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(4.3倍) / ⚠ペナルティ1件
