ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,時価総額(億円),PER,PBR,政策セクター,コメント
1,4063.T,4063.T,72.9,90,40,84,🏛️ 買い（政策恩恵）,5750.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / 出来高急増
2,5706.T,5706.T,72.3,79,65,72,🏛️ 買い（政策恩恵）,31290.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中 / 出来高急増
3,8035.T,8035.T,71.4,79,48,84,🏛️ 買い（政策恩恵）,43960.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
4,3482.T,3482.T,71.3,76,65,72,🏛️ 買い（政策恩恵）,3560.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
5,1801.T,1801.T,71.3,79,57,76,🏛️ 買い（政策恩恵）,18795.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中 / 出来高急増
6,7013.T,7013.T,68.1,79,30,90,👀 監視・買い検討,4384.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
7,4062.T,4062.T,67.5,73,35,90,👀 監視・買い検討,9157.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
8,1812.T,1812.T,67.5,68,57,76,👀 監視・買い検討,7085.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
9,5713.T,5713.T,67.3,80,47,72,👀 監視・買い検討,10010.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
10,2986.T,2986.T,66.5,69,57,72,👀 監視・買い検討,9780.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
11,6857.T,6857.T,66.5,65,48,84,👀 監視・買い検討,25475.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
