ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,時価総額(億円),PER,PBR,政策セクター,コメント
1,7047.T,7047.T,65.0,83,36,72,👀 監視・買い検討,2513.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
2,6857.T,6857.T,62.9,65,36,84,👀 監視・買い検討,25475.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
3,8113.T,8113.T,61.9,72,36,74,👀 監視・買い検討,1065.0,0.0,,,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中
4,8789.T,8789.T,60.5,70,36,72,👀 監視・買い検討,148.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
5,4575.T,4575.T,59.5,67,36,72,⏸️ 様子見,849.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
6,4519.T,4519.T,59.4,79,36,60,⏸️ 様子見,9930.0,0.0,,,medical,ゴールデンクロス形成中 / 出来高急増
7,4183.T,4183.T,58.8,65,36,72,⏸️ 様子見,2313.5,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
8,6920.T,6920.T,54.5,41,36,84,⏸️ 様子見,30640.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
9,6544.T,6544.T,51.4,44,36,72,⏸️ 様子見,1630.5,0.0,,,startup_growth,政策重点銘柄（startup_growth）
10,3133.T,3133.T,49.6,39,36,72,💼 保有継続,374.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / 出来高急増
11,6532.T,6532.T,48.2,35,36,72,💼 保有継続,4480.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
12,9433.T,9433.T,45.8,22,36,78,💼 保有継続,2616.0,0.0,,,ai_digital,政策重点銘柄（ai_digital）
13,3923.T,3923.T,45.8,28,36,72,💼 保有継続,766.1,0.0,,,startup_growth,政策重点銘柄（startup_growth）
14,4419.T,4419.T,45.5,27,36,72,💼 保有継続,843.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
15,6526.T,6526.T,45.1,14,36,84,💼 保有継続,1946.5,0.0,,,semiconductor,政策重点銘柄（semiconductor） / RSI売られすぎ圏（反発期待）
16,4475.T,4475.T,45.1,26,36,72,💼 保有継続,982.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
17,4071.T,4071.T,44.0,23,36,72,💼 保有継続,2038.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
18,4194.T,4194.T,40.2,12,36,72,💼 保有継続,6878.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
