ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,時価総額(億円),PER,PBR,政策セクター,コメント
1,7013.T,IHI Corporation,74.8,81,50,90,🏛️ 買い（政策恩恵）,4384.0,46477.0,35.969807,8.245111,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
2,4063.T,"Shin-Etsu Chemical Co., Ltd.",74.6,82,55,84,🏛️ 買い（政策恩恵）,5750.0,107754.0,22.271284,2.4912903,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
3,6952.T,"Casio Computer Co.,Ltd.",72.8,69,57,90,🏛️ 買い（政策恩恵）,1604.5,3659.0,45.45326,1.5807244,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / バリュエーション割高注意
4,7762.T,"Citizen Watch Co., Ltd.",72.2,64,61,90,🏛️ 買い（政策恩恵）,1727.0,4214.0,17.954048,1.5091443,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
5,6857.T,Advantest Corporation,72.0,66,65,84,🏛️ 買い（政策恩恵）,25475.0,185047.0,71.42857,27.43643,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
6,8035.T,Tokyo Electron Limited,70.9,81,44,84,🏛️ 買い（政策恩恵）,43960.0,201514.0,37.31337,10.049374,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
7,9984.T,SoftBank Group Corp.,70.6,56,79,78,🏛️ 買い（政策恩恵）,4329.0,246699.0,8.090681,1.597232,ai_digital,政策重点銘柄（ai_digital） / 高ROE優良企業
8,3407.T,Asahi Kasei Corporation,70.2,75,58,76,🏛️ 買い（政策恩恵）,1740.0,23634.0,16.834366,1.1773726,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
9,6479.T,MINEBEA MITSUMI Inc.,70.0,56,63,90,🏛️ 買い（政策恩恵）,3310.0,13293.0,21.142054,1.5741163,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
10,5444.T,"Yamato Kogyo Co., Ltd.",70.0,87,43,76,🏛️ 買い（政策恩恵）,12755.0,7670.0,34.482292,1.4404802,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中 / バリュエーション割高注意
11,4062.T,"Ibiden Co.,Ltd.",68.8,75,37,90,👀 監視・買い検討,9157.0,25571.0,77.5163,4.714375,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / バリュエーション割高注意
12,7011.T,"Mitsubishi Heavy Industries, Ltd.",67.7,70,39,90,👀 監視・買い検討,4965.0,166830.0,60.972614,6.288305,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / バリュエーション割高注意
13,1803.T,Shimizu Corporation,67.5,74,50,76,👀 監視・買い検討,3452.0,23355.0,23.419268,2.6012073,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
14,4523.T,"Eisai Co., Ltd.",67.4,64,52,84,👀 監視・買い検討,5114.0,14416.0,29.239567,1.6204267,semiconductor,政策重点銘柄（semiconductor）
15,1802.T,Obayashi Corporation,67.3,64,61,76,👀 監視・買い検討,4153.0,28549.0,17.391123,2.3907206,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中 / 高ROE優良企業
16,9531.T,"Tokyo Gas Co.,Ltd.",66.9,70,55,74,👀 監視・買い検討,7575.0,25508.0,14.641359,1.5969366,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中
17,4021.T,Nissan Chemical Corporation,66.2,69,70,60,👀 監視・買い検討,6597.0,8852.0,19.801891,3.669397,medical,ゴールデンクロス形成中 / 高ROE優良企業
18,1801.T,Taisei Corporation,65.2,76,40,76,👀 監視・買い検討,18795.0,30638.0,22.988575,3.5530362,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
19,4208.T,UBE Corporation,65.2,71,48,74,👀 監視・買い検討,2802.0,2722.0,47.39513,0.6407403,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中 / バリュエーション割高注意
