ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,時価総額(億円),PER,PBR,政策セクター,コメント
1,7980.T,7980.T,74.8,79,52,90,🏛️ 買い（政策恩恵）,918.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / 出来高急増
2,5857.T,5857.T,74.1,84,65,72,🏛️ 買い（政策恩恵）,4245.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中 / 出来高急増
3,6203.T,6203.T,73.2,79,47,90,🏛️ 買い（政策恩恵）,2000.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / 出来高急増
4,4063.T,4063.T,72.9,90,40,84,🏛️ 買い（政策恩恵）,5750.0,0.0,,,"semiconductor, rare_earth","政策重点銘柄（semiconductor, rare_earth） / ゴールデンクロス形成中 / 出来高急増"
5,5706.T,5706.T,72.3,79,65,72,🏛️ 買い（政策恩恵）,31290.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中 / 出来高急増
6,4275.T,4275.T,71.8,79,42,90,🏛️ 買い（政策恩恵）,2669.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / 出来高急増
7,6503.T,6503.T,71.8,79,42,90,🏛️ 買い（政策恩恵）,5850.0,0.0,,,"defense, green_energy","政策重点銘柄（defense, green_energy） / ゴールデンクロス形成中 / 出来高急増"
8,8035.T,8035.T,71.4,79,48,84,🏛️ 買い（政策恩恵）,43960.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
9,1801.T,1801.T,71.3,79,57,76,🏛️ 買い（政策恩恵）,18795.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中 / 出来高急増
10,3482.T,3482.T,71.3,76,65,72,🏛️ 買い（政策恩恵）,3560.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
11,7721.T,7721.T,70.2,79,37,90,🏛️ 買い（政策恩恵）,8780.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / 出来高急増
12,4274.T,4274.T,69.5,83,30,90,👀 監視・買い検討,1542.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / 出来高急増
13,9719.T,9719.T,69.0,79,47,78,👀 監視・買い検討,5670.0,0.0,,,ai_digital,政策重点銘柄（ai_digital） / ゴールデンクロス形成中
14,7013.T,7013.T,68.1,79,30,90,👀 監視・買い検討,4384.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
15,1812.T,1812.T,67.5,68,57,76,👀 監視・買い検討,7085.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
16,1861.T,1861.T,67.5,68,57,76,👀 監視・買い検討,1980.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
17,4062.T,4062.T,67.5,73,35,90,👀 監視・買い検討,9157.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
18,5713.T,5713.T,67.3,80,47,72,👀 監視・買い検討,10010.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
19,6208.T,6208.T,66.6,79,25,90,👀 監視・買い検討,2899.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / 出来高急増
20,2986.T,2986.T,66.5,69,57,72,👀 監視・買い検討,9780.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
21,6857.T,6857.T,66.5,65,48,84,👀 監視・買い検討,25475.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
22,7164.T,7164.T,66.5,74,56,68,👀 監視・買い検討,3166.0,0.0,,,finance,総合的に良好な状態
23,7685.T,7685.T,66.0,83,39,72,👀 監視・買い検討,6200.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
24,1803.T,1803.T,66.0,68,52,76,👀 監視・買い検討,3452.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
25,7735.T,7735.T,65.8,74,35,84,👀 監視・買い検討,21980.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / 出来高急増
26,6196.T,6196.T,65.8,79,43,72,👀 監視・買い検討,4360.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
27,4004.T,4004.T,65.5,79,42,72,👀 監視・買い検討,11220.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中 / 出来高急増
28,1802.T,1802.T,65.4,62,57,76,👀 監視・買い検討,4153.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
29,5714.T,5714.T,65.2,74,47,72,👀 監視・買い検討,10140.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
30,3407.T,3407.T,64.8,73,42,76,👀 監視・買い検討,1740.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
31,4042.T,4042.T,64.8,73,47,72,👀 監視・買い検討,2640.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
32,1811.T,1811.T,64.8,73,42,76,👀 監視・買い検討,9180.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
33,8750.T,8750.T,64.6,72,52,68,👀 監視・買い検討,1562.0,0.0,,,finance,ゴールデンクロス形成中 / 出来高急増
34,6146.T,6146.T,64.5,67,39,84,👀 監視・買い検討,74060.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
35,9984.T,9984.T,64.3,50,65,78,👀 監視・買い検討,4329.0,0.0,,,ai_digital,政策重点銘柄（ai_digital）
36,6952.T,6952.T,64.0,67,30,90,👀 監視・買い検討,1604.5,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
37,5802.T,5802.T,64.0,79,37,72,👀 監視・買い検討,9748.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中 / 出来高急増
38,8411.T,8411.T,63.9,70,52,68,👀 監視・買い検討,7175.0,0.0,,,finance,ゴールデンクロス形成中
39,5444.T,5444.T,63.8,85,25,76,👀 監視・買い検討,12755.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
40,7047.T,7047.T,63.2,83,30,72,👀 監視・買い検討,2513.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
41,8001.T,8001.T,63.2,68,52,68,👀 監視・買い検討,2192.5,0.0,,,finance,ゴールデンクロス形成中
42,7012.T,7012.T,63.1,63,32,90,👀 監視・買い検討,17915.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
43,3436.T,3436.T,63.0,78,35,72,👀 監視・買い検討,1614.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
44,5253.T,5253.T,63.0,65,50,72,👀 監視・買い検討,1690.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
45,7011.T,7011.T,62.9,64,30,90,👀 監視・買い検討,4965.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
