ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,7980.T,重松製作所,81.1,80,62,90,🔥 強気買い,1088.0,11.2,0.01,0.11586189247752711,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠ペナルティ1件
2,4274.T,細谷火工,76.0,80,45,90,🏛️ 買い（政策恩恵）,1598.0,36.27,0.02,0.05256058363321358,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
3,6146.T,ディスコ,72.1,80,49,84,🏛️ 買い（政策恩恵）,73510.0,32.0,0.05,0.15490663834643673,1.3,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
4,6030.T,アドベンチャー,70.8,85,53,72,🏛️ 買い（政策恩恵）,1810.0,60.7,0.22,0.3679506311078882,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
5,5706.T,三井金属鉱業,70.5,65,75,72,🏛️ 買い（政策恩恵）,32740.0,4.9,0.01,0.21253860407659048,1.68,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
6,9531.T,東京ガス,70.3,78,47,74,🏛️ 買い（政策恩恵）,7816.0,21.9,0.01,0.04201495241756777,0.81,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
7,1801.T,大成建設,69.4,65,67,76,👀 監視・買い検討,18295.0,9.6,0.01,0.10960659387508585,1.86,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安
8,8750.T,第一生命HD,69.1,85,52,68,👀 監視・買い検討,1540.0,5.8,0.0,0.07567448262778054,2.21,finance,GC形成中 / 75日MA上
9,9279.T,ギフトホールディングス,68.5,85,35,72,👀 監視・買い検討,4130.0,163.7,0.06,0.036249674216268915,0.79,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
10,4275.T,カーリットHD,66.6,70,52,90,👀 監視・買い検討,2946.0,14.1,0.01,0.042481968457742346,3.86,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(3.9倍) / ⚠ペナルティ1件
11,6920.T,レーザーテック,66.5,75,53,84,👀 監視・買い検討,33310.0,101.1,0.35,0.34880771182141046,5.02,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(5.0倍) / ⚠ペナルティ1件
12,7741.T,HOYA,66.5,88,49,60,👀 監視・買い検討,28510.0,38.7,0.07,0.18200726744186047,1.58,medical,GC形成中 / 75日MA上
13,7388.T,FPパートナー,66.5,75,50,72,👀 監視・買い検討,2415.0,,,0.28737790219180454,1.87,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
14,6203.T,豊和工業,66.3,65,57,90,👀 監視・買い検討,1761.0,11.1,0.01,0.06007198709196972,7.65,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(7.7倍) / ⚠ペナルティ1件
15,6196.T,ストライク,65.8,85,53,72,👀 監視・買い検討,4425.0,33.6,0.09,0.26393119956778843,17.11,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(17.1倍) / ⚠ペナルティ1件
16,6952.T,カシオ計算機,65.8,51,45,90,👀 監視・買い検討,1398.5,42.1,0.02,0.056697892824276175,1.24,defense,🏛️政策主力(defense) / RSI底値圏 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
17,7685.T,BuySell Technologies,65.5,73,49,72,👀 監視・買い検討,6260.0,72.1,0.13,0.1740005296510793,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
18,5857.T,AREホールディングス,65.5,65,75,72,👀 監視・買い検討,4095.0,6.5,0.02,0.2627600788535591,53.44,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(53.4倍) / ⚠ペナルティ1件
19,3482.T,ロードスターキャピタル,65.5,65,75,72,👀 監視・買い検討,3615.0,5.9,0.02,0.3496956352804041,44.12,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(44.1倍) / ⚠ペナルティ1件
20,6857.T,アドバンテスト,65.3,53,58,84,👀 監視・買い検討,25710.0,27.35,0.07,0.24891125623731583,1.57,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
21,4063.T,信越化学工業,64.9,73,50,84,👀 監視・買い検討,6247.0,26.3,0.03,0.10175620317845234,5.25,"semiconductor, rare_earth","🏛️政策主力(semiconductor, rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(5.2倍) / ⚠ペナルティ1件"
22,6758.T,ソニーグループ,64.8,59,66,84,👀 監視・買い検討,3473.0,13.9,0.02,0.15412531961307974,29.48,semiconductor,🏛️政策主力(semiconductor) / 割安 / ⚠信用過熱(29.5倍) / ⚠ペナルティ1件
