ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,7980.T,重松製作所,79.3,75,62,90,🏛️ 買い（政策恩恵）,886.0,11.2,0.01,0.11586189247752711,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠ペナルティ1件
2,4274.T,細谷火工,74.2,75,45,90,🏛️ 買い（政策恩恵）,1408.0,36.27,0.02,0.05256058363321358,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
3,6857.T,アドバンテスト,74.1,78,58,84,🏛️ 買い（政策恩恵）,28615.0,27.35,0.07,0.24891125623731583,1.8,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
4,6146.T,ディスコ,73.7,76,49,84,🏛️ 買い（政策恩恵）,80000.0,32.0,0.05,0.15490663834643673,0.87,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / 信用良好(0.9倍) / ⚠ペナルティ1件
5,8035.T,東京エレクトロン,73.4,76,58,84,🏛️ 買い（政策恩恵）,46230.0,29.95,0.07,0.2371169338702782,2.14,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
6,1801.T,大成建設,73.3,76,67,76,🏛️ 買い（政策恩恵）,19055.0,9.6,0.01,0.10960659387508585,2.57,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安
7,5706.T,三井金属鉱業,72.5,71,75,72,🏛️ 買い（政策恩恵）,35740.0,4.9,0.01,0.21253860407659048,1.23,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
8,7203.T,トヨタ自動車,72.0,83,57,74,🏛️ 買い（政策恩恵）,3720.0,10.7,0.01,0.09593268350803799,2.9,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 割安
9,5707.T,東邦亜鉛,71.9,76,67,72,🏛️ 買い（政策恩恵）,1684.0,5.89,0.01,0.1328381246382404,2.31,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
10,6203.T,豊和工業,70.9,78,57,90,🏛️ 買い（政策恩恵）,1803.0,11.1,0.01,0.06007198709196972,7.5,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(7.5倍) / ⚠ペナルティ1件
11,6208.T,石川製作所,69.2,75,45,90,👀 監視・買い検討,2506.0,91.3,0.03,0.03218271476771347,3.5,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠信用過熱(3.5倍) / ⚠ペナルティ2件
12,7164.T,全国保証,69.1,73,66,68,👀 監視・買い検討,3187.0,12.9,0.02,0.1627999517665501,1.08,finance,GC形成中 / 75日MA上 / 割安
13,4275.T,カーリットHD,68.7,76,52,90,👀 監視・買い検討,2739.0,14.1,0.01,0.042481968457742346,4.27,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(4.3倍) / ⚠ペナルティ1件
14,1802.T,大林組,68.3,76,67,76,👀 監視・買い検討,4236.0,7.4,0.01,0.10268415422789895,10.35,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(10.3倍) / ⚠ペナルティ1件
15,7388.T,FPパートナー,68.2,80,50,72,👀 監視・買い検討,2338.0,,,0.28737790219180454,1.96,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
16,6503.T,三菱電機,67.6,73,52,90,👀 監視・買い検討,5860.0,18.7,0.01,0.06727905661895674,13.67,"defense, green_energy","🏛️政策主力(defense, green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(13.7倍) / ⚠ペナルティ1件"
17,5857.T,AREホールディングス,67.5,71,75,72,👀 監視・買い検討,4315.0,6.5,0.02,0.2627600788535591,86.19,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(86.2倍) / ⚠ペナルティ1件
18,5711.T,三菱マテリアル,67.4,76,52,72,👀 監視・買い検討,5662.0,13.8,0.01,0.03972532283843918,2.81,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
19,1812.T,鹿島建設,67.2,73,67,76,👀 監視・買い検討,6898.0,8.1,0.01,0.11134870242742477,20.16,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(20.2倍) / ⚠ペナルティ1件
20,4578.T,大塚ホールディングス,66.9,78,52,60,👀 監視・買い検討,10390.0,16.2,0.01,0.07997138808286659,0.81,medical,GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
21,5714.T,DOWAホールディングス,66.3,83,57,72,👀 監視・買い検討,10495.0,12.56,0.01,0.07886814954014058,10.01,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(10.0倍) / ⚠ペナルティ1件
22,3482.T,ロードスターキャピタル,65.8,66,75,72,👀 監視・買い検討,3595.0,5.9,0.02,0.3496956352804041,64.13,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(64.1倍) / ⚠ペナルティ1件
23,8750.T,第一生命HD,65.7,75,52,68,👀 監視・買い検討,1516.5,5.8,0.0,0.07567448262778054,2.37,finance,GC形成中 / 75日MA上
24,1803.T,清水建設,65.7,73,62,76,👀 監視・買い検討,3463.0,8.9,0.01,0.09395139790077497,4.45,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(4.5倍) / ⚠ペナルティ1件
25,4062.T,イビデン,65.5,73,45,90,👀 監視・買い検討,9652.0,27.67,0.02,0.07984142321422469,3.11,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(3.1倍) / ⚠ペナルティ1件
26,7013.T,IHI,65.5,73,45,90,👀 監視・買い検討,4010.0,25.47,0.01,0.04353174695530457,5.58,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(5.6倍) / ⚠ペナルティ1件
