ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,7980.T,重松製作所,78.6,73,62,90,🏛️ 買い（政策恩恵）,1047.0,11.2,0.01,0.11586189247752711,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠ペナルティ1件
2,4274.T,細谷火工,75.3,78,45,90,🏛️ 買い（政策恩恵）,1618.0,36.27,0.02,0.05256058363321358,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
3,8035.T,東京エレクトロン,73.0,75,58,84,🏛️ 買い（政策恩恵）,43530.0,29.95,0.07,0.2371169338702782,2.14,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
4,6146.T,ディスコ,72.7,73,49,84,🏛️ 買い（政策恩恵）,74910.0,32.0,0.05,0.15490663834643673,0.87,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / 信用良好(0.9倍) / ⚠ペナルティ1件
5,5706.T,三井金属鉱業,72.5,71,75,72,🏛️ 買い（政策恩恵）,38680.0,4.9,0.01,0.21253860407659048,1.23,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
6,1803.T,清水建設,72.2,83,62,76,🏛️ 買い（政策恩恵）,3578.0,8.9,0.01,0.09395139790077497,4.45,infrastructure,政策(infrastructure) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠信用過熱(4.5倍) / ⚠ペナルティ2件
7,1801.T,大成建設,71.5,71,67,76,🏛️ 買い（政策恩恵）,20390.0,9.6,0.01,0.10960659387508585,2.57,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安
8,1812.T,鹿島建設,71.4,85,67,76,🏛️ 買い（政策恩恵）,7014.0,8.1,0.01,0.11134870242742477,20.16,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(20.2倍) / ⚠ペナルティ1件
9,5707.T,東邦亜鉛,71.2,74,67,72,🏛️ 買い（政策恩恵）,1761.0,5.89,0.01,0.1328381246382404,2.31,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
10,6479.T,ミネベアミツミ,70.8,88,45,90,🏛️ 買い（政策恩恵）,3330.0,29.8,0.03,0.08591327323386702,9.94,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(9.9倍) / ⚠ペナルティ1件
11,7203.T,トヨタ自動車,69.6,76,57,74,👀 監視・買い検討,3944.0,10.7,0.01,0.09593268350803799,2.9,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 割安
12,7388.T,FPパートナー,69.2,83,50,72,👀 監視・買い検討,2380.0,,,0.28737790219180454,1.96,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
13,7164.T,全国保証,69.1,73,66,68,👀 監視・買い検討,3188.0,12.9,0.02,0.1627999517665501,1.08,finance,GC形成中 / 75日MA上 / 割安
14,4183.T,三井化学,68.1,88,57,72,👀 監視・買い検討,2336.0,11.73,0.01,0.0951982247693368,9.3,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(9.3倍) / ⚠ペナルティ1件
15,9279.T,ギフトホールディングス,67.8,83,35,72,👀 監視・買い検討,4200.0,163.7,0.06,0.036249674216268915,0.57,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 信用良好(0.6倍) / ⚠ペナルティ1件
16,3482.T,ロードスターキャピタル,67.5,71,75,72,👀 監視・買い検討,3790.0,5.9,0.02,0.3496956352804041,64.13,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(64.1倍) / ⚠ペナルティ1件
17,5857.T,AREホールディングス,67.5,71,75,72,👀 監視・買い検討,4710.0,6.5,0.02,0.2627600788535591,86.19,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(86.2倍) / ⚠ペナルティ1件
18,8750.T,第一生命HD,67.4,80,52,68,👀 監視・買い検討,1559.0,5.8,0.0,0.07567448262778054,2.37,finance,GC形成中 / 75日MA上
19,4062.T,イビデン,67.3,78,45,90,👀 監視・買い検討,9368.0,27.67,0.02,0.07984142321422469,3.11,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(3.1倍) / ⚠ペナルティ1件
20,7011.T,三菱重工業,67.3,78,45,90,👀 監視・買い検討,5195.0,28.52,0.01,0.029742919415490413,7.75,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(7.8倍) / ⚠ペナルティ1件
21,7013.T,IHI,67.3,78,45,90,👀 監視・買い検討,4431.0,25.47,0.01,0.04353174695530457,5.58,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(5.6倍) / ⚠ペナルティ1件
22,6030.T,アドベンチャー,67.3,75,53,72,👀 監視・買い検討,1903.0,60.7,0.22,0.3679506311078882,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
23,1802.T,大林組,67.2,73,67,76,👀 監視・買い検討,4304.0,7.4,0.01,0.10268415422789895,10.35,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(10.3倍) / ⚠ペナルティ1件
24,4275.T,カーリットHD,66.9,71,52,90,👀 監視・買い検討,3090.0,14.1,0.01,0.042481968457742346,4.27,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(4.3倍) / ⚠ペナルティ1件
25,8001.T,伊藤忠商事,66.4,83,62,68,👀 監視・買い検討,2230.5,13.29,0.01,0.1037230249286866,7.41,finance,GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(7.4倍) / ⚠ペナルティ1件
26,6203.T,豊和工業,66.3,65,57,90,👀 監視・買い検討,1904.0,11.1,0.01,0.06007198709196972,7.5,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(7.5倍) / ⚠ペナルティ1件
27,6952.T,カシオ計算機,66.0,60,45,90,👀 監視・買い検討,1542.5,42.1,0.02,0.056697892824276175,1.7,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
28,5711.T,三菱マテリアル,65.6,71,52,72,👀 監視・買い検討,6103.0,13.8,0.01,0.03972532283843918,2.81,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
