ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,時価総額(億円),PER,PBR,政策セクター,コメント
1,3482.T,Loadstar Capital K.K.,77.9,76,87,72,🏛️ 買い（政策恩恵）,3560.0,591.0,7.117438,1.8209141,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増 / 高ROE優良企業
2,7047.T,Port Inc.,77.6,83,78,72,🏛️ 買い（政策恩恵）,2513.0,329.0,15.479857,3.232017,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増 / 高ROE優良企業
3,4063.T,"Shin-Etsu Chemical Co., Ltd.",77.4,90,55,84,🏛️ 買い（政策恩恵）,5750.0,107754.0,22.271284,2.4912903,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / 出来高急増
4,2986.T,"LA Holdings Co., Ltd.",76.0,69,89,72,🏛️ 買い（政策恩恵）,9780.0,741.0,9.891177,2.4938266,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 高ROE優良企業
5,5254.T,Arent Inc.,75.0,79,74,72,🏛️ 買い（政策恩恵）,4040.0,265.0,20.833334,4.1327767,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増 / バリュエーション割高注意 / 高ROE優良企業
6,7013.T,IHI Corporation,74.1,79,50,90,🏛️ 買い（政策恩恵）,4384.0,46477.0,35.969807,8.245111,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
7,7033.T,"Management Solutions co.,Ltd.",74.0,83,66,72,🏛️ 買い（政策恩恵）,1382.0,217.0,14.123659,3.6713822,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増 / 高ROE優良企業
8,6196.T,"Strike Company,Limited",73.0,79,67,72,🏛️ 買い（政策恩恵）,4360.0,837.0,17.730785,4.4226604,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増 / バリュエーション割高注意 / 高ROE優良企業
9,7685.T,"BuySell Technologies Co.,Ltd.",72.2,83,60,72,🏛️ 買い（政策恩恵）,6200.0,1911.0,35.714283,8.926848,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増 / バリュエーション割高注意 / 高ROE優良企業
10,6952.T,"Casio Computer Co.,Ltd.",72.0,67,57,90,🏛️ 買い（政策恩恵）,1604.5,3659.0,45.45326,1.5807244,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / バリュエーション割高注意
11,6857.T,Advantest Corporation,71.7,65,65,84,🏛️ 買い（政策恩恵）,25475.0,185047.0,71.42857,27.43643,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
12,3989.T,"Sharingtechnology, Inc.",70.9,68,73,72,🏛️ 買い（政策恩恵）,1138.0,272.0,19.22947,5.9605494,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増 / バリュエーション割高注意 / 高ROE優良企業
13,8035.T,Tokyo Electron Limited,70.2,79,44,84,🏛️ 買い（政策恩恵）,43960.0,201514.0,37.31337,10.049374,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
14,8789.T,FinTech Global Incorporated,70.1,70,68,72,🏛️ 買い（政策恩恵）,148.0,284.0,13.665744,2.4700837,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 高ROE優良企業
15,7762.T,"Citizen Watch Co., Ltd.",70.1,58,61,90,🏛️ 買い（政策恩恵）,1727.0,4214.0,17.954048,1.5091443,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
16,8750.T,"Dai-ichi Life Holdings, Inc.",69.7,72,69,68,👀 監視・買い検討,1562.0,56615.0,14.124243,1.3896402,finance,ゴールデンクロス形成中 / 出来高急増
17,3407.T,Asahi Kasei Corporation,69.5,73,58,76,👀 監視・買い検討,1740.0,23634.0,16.834366,1.1773726,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
18,5444.T,"Yamato Kogyo Co., Ltd.",69.2,85,43,76,👀 監視・買い検討,12755.0,7670.0,34.482292,1.4404802,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中 / バリュエーション割高注意
19,9279.T,Gift Holdings Inc.,69.0,73,61,72,👀 監視・買い検討,3920.0,785.0,35.841637,7.587092,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
20,9984.T,SoftBank Group Corp.,68.5,50,79,78,👀 監視・買い検討,4329.0,246699.0,8.090681,1.597232,ai_digital,政策重点銘柄（ai_digital） / 高ROE優良企業
21,4523.T,"Eisai Co., Ltd.",68.4,67,52,84,👀 監視・買い検討,5114.0,14416.0,29.239567,1.6204267,semiconductor,政策重点銘柄（semiconductor） / 出来高急増
22,8591.T,ORIX Corporation,68.3,69,68,68,👀 監視・買い検討,5410.0,59824.0,12.987013,1.3059882,finance,ゴールデンクロス形成中
23,7164.T,"ZENKOKU HOSHO Co.,Ltd.",68.3,74,62,68,👀 監視・買い検討,3166.0,4206.0,13.53165,1.8207823,finance,総合的に良好な状態
24,4062.T,"Ibiden Co.,Ltd.",68.1,73,37,90,👀 監視・買い検討,9157.0,25571.0,77.5163,4.714375,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / バリュエーション割高注意
25,5706.T,"Mitsui Kinzoku Company, Limited",68.1,79,51,72,👀 監視・買い検討,31290.0,17902.0,38.31413,4.929121,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中 / 出来高急増 / バリュエーション割高注意 / 高ROE優良企業
26,6479.T,MINEBEA MITSUMI Inc.,67.9,50,63,90,👀 監視・買い検討,3310.0,13293.0,21.142054,1.5741163,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
27,3436.T,Sumco Corporation,67.8,78,51,72,👀 監視・買い検討,1614.0,5644.0,,0.9758959,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
28,1662.T,"Japan Petroleum Exploration Co., Ltd.",67.7,70,60,72,👀 監視・買い検討,2357.0,6033.0,6.949317,1.0689726,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中 / バリュエーション割安
