ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,7980.T,重松製作所,80.4,78,62,90,🔥 強気買い,1347.0,11.2,0.01,0.11586189247752711,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠ペナルティ1件
2,4274.T,細谷火工,75.3,78,45,90,🏛️ 買い（政策恩恵）,1786.0,36.27,0.02,0.05256058363321358,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
3,1801.T,大成建設,72.2,73,67,76,🏛️ 買い（政策恩恵）,19870.0,9.6,0.01,0.10960659387508585,1.86,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安
4,8035.T,東京エレクトロン,71.3,70,58,84,🏛️ 買い（政策恩恵）,42600.0,29.95,0.07,0.2371169338702782,2.83,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
5,7164.T,全国保証,71.1,70,66,68,📈 買い,3160.0,12.9,0.02,0.1627999517665501,0.92,finance,GC形成中 / 75日MA上 / 割安 / 信用良好(0.9倍) / ⚠ペナルティ1件
6,5857.T,AREホールディングス,70.0,78,75,72,🏛️ 買い（政策恩恵）,4375.0,6.5,0.02,0.2627600788535591,53.44,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(53.4倍) / ⚠ペナルティ1件
7,1803.T,清水建設,69.4,75,62,76,👀 監視・買い検討,3515.0,8.9,0.01,0.09395139790077497,4.69,infrastructure,政策(infrastructure) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠信用過熱(4.7倍) / ⚠ペナルティ2件
8,5706.T,三井金属鉱業,69.0,61,75,72,👀 監視・買い検討,36130.0,4.9,0.01,0.21253860407659048,1.68,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
9,7203.T,トヨタ自動車,68.5,73,57,74,👀 監視・買い検討,3702.0,10.7,0.01,0.09593268350803799,2.07,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 割安
10,5711.T,三菱マテリアル,68.1,78,52,72,👀 監視・買い検討,5648.0,13.8,0.01,0.03972532283843918,2.22,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
11,6203.T,豊和工業,68.1,70,57,90,👀 監視・買い検討,1792.0,11.1,0.01,0.06007198709196972,7.65,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(7.7倍) / ⚠ペナルティ1件
12,6920.T,レーザーテック,67.9,79,53,84,👀 監視・買い検討,34220.0,101.1,0.35,0.34880771182141046,5.02,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(5.0倍) / ⚠ペナルティ1件
13,9531.T,東京ガス,67.8,71,47,74,👀 監視・買い検討,7861.0,21.9,0.01,0.04201495241756777,0.81,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
14,4062.T,イビデン,67.8,65,45,90,👀 監視・買い検討,8618.0,27.67,0.02,0.07984142321422469,2.13,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上
15,7388.T,FPパートナー,67.5,78,50,72,👀 監視・買い検討,2337.0,,,0.28737790219180454,1.87,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
16,7735.T,SCREENホールディングス,67.4,70,45,84,👀 監視・買い検討,21165.0,29.9,0.02,0.07271227726950151,2.99,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
17,4042.T,東ソー,66.8,70,57,72,👀 監視・買い検討,2625.0,10.7,0.01,0.09562945174321688,2.96,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
18,6146.T,ディスコ,66.8,65,49,84,👀 監視・買い検討,73030.0,32.0,0.05,0.15490663834643673,1.3,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
19,1802.T,大林組,66.2,70,67,76,👀 監視・買い検討,4148.0,7.4,0.01,0.10268415422789895,9.45,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(9.4倍) / ⚠ペナルティ1件
20,7721.T,東京計器,66.2,75,45,90,👀 監視・買い検討,8710.0,16.37,0.0,0.02958765146059676,4.21,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(4.2倍) / ⚠ペナルティ1件
21,4275.T,カーリットHD,65.9,68,52,90,👀 監視・買い検討,2899.0,14.1,0.01,0.042481968457742346,3.86,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(3.9倍) / ⚠ペナルティ1件
22,3482.T,ロードスターキャピタル,65.8,66,75,72,👀 監視・買い検討,3730.0,5.9,0.02,0.3496956352804041,44.12,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(44.1倍) / ⚠ペナルティ1件
23,7011.T,三菱重工業,65.5,73,45,90,👀 監視・買い検討,4922.0,28.52,0.01,0.029742919415490413,6.82,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(6.8倍) / ⚠ペナルティ1件
24,7013.T,IHI,65.5,73,45,90,👀 監視・買い検討,4215.0,25.47,0.01,0.04353174695530457,7.42,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(7.4倍) / ⚠ペナルティ1件
25,9279.T,ギフトホールディングス,65.0,75,35,72,👀 監視・買い検討,4000.0,163.7,0.06,0.036249674216268915,0.79,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
26,8750.T,第一生命HD,64.9,73,52,68,👀 監視・買い検討,1516.0,5.8,0.0,0.07567448262778054,2.21,finance,GC形成中 / 75日MA上
27,6503.T,三菱電機,64.8,65,52,90,👀 監視・買い検討,5634.0,18.7,0.01,0.06727905661895674,12.24,"defense, green_energy","🏛️政策主力(defense, green_energy) / GC形成中 / 75日MA上 / ⚠信用過熱(12.2倍) / ⚠ペナルティ1件"
28,6208.T,石川製作所,63.8,68,45,90,👀 監視・買い検討,2829.0,91.3,0.03,0.03218271476771347,4.36,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(4.4倍) / ⚠ペナルティ1件
29,9433.T,KDDI,63.6,65,62,78,👀 監視・買い検討,2670.5,11.95,0.02,0.1368769591488575,3.42,ai_digital,政策(ai_digital) / 割安 / ⚠信用過熱(3.4倍) / ⚠ペナルティ1件
30,3407.T,旭化成,63.5,75,52,76,👀 監視・買い検討,1826.0,22.17,0.01,0.05337312274386347,11.04,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(11.0倍) / ⚠ペナルティ1件
31,6196.T,ストライク,63.4,78,53,72,👀 監視・買い検討,4340.0,33.6,0.09,0.26393119956778843,17.11,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(17.1倍) / ⚠ペナルティ1件
32,4063.T,信越化学工業,63.2,68,50,84,👀 監視・買い検討,6117.0,26.3,0.03,0.10175620317845234,5.25,"semiconductor, rare_earth","🏛️政策主力(semiconductor, rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(5.2倍) / ⚠ペナルティ1件"
33,7685.T,BuySell Technologies,62.7,65,49,72,👀 監視・買い検討,5570.0,72.1,0.13,0.1740005296510793,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
34,4523.T,エーザイ,62.4,70,45,84,👀 監視・買い検討,4984.0,50.7,0.03,0.05978041650453748,9.47,"semiconductor, medical","🏛️政策主力(semiconductor, medical) / GC形成中 / 75日MA上 / ⚠信用過熱(9.5倍) / ⚠ペナルティ1件"
35,4578.T,大塚ホールディングス,62.4,65,52,60,👀 監視・買い検討,10135.0,16.2,0.01,0.07997138808286659,0.74,medical,GC形成中 / 75日MA上 / 信用良好(0.7倍) / ⚠ペナルティ1件
36,4519.T,中外製薬,61.4,70,53,60,👀 監視・買い検討,9872.0,42.12,0.09,0.21911463536336112,2.46,medical,GC形成中 / 75日MA上
37,7157.T,ライフネット生命保険,61.2,73,35,72,👀 監視・買い検討,2185.0,,,-0.19701379223079843,2.13,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
38,5713.T,住友金属鉱山,61.1,68,57,72,👀 監視・買い検討,11995.0,13.88,0.01,0.08492867101226925,4.7,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(4.7倍) / ⚠ペナルティ1件
