ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
1,7980.T,重松製作所,81.1,80,62,90,🔥 強気買い,1131.0,11.2,0.01,0.11586189247752711,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠ペナルティ1件
2,4274.T,細谷火工,77.8,85,45,90,🏛️ 買い（政策恩恵）,1563.0,36.27,0.02,0.05256058363321358,,defense,🏛️政策主力(defense) / GC形成中 / 出来高急増 / 75日MA上 / ⚠ペナルティ1件
3,1801.T,大成建設,72.9,75,67,76,🏛️ 買い（政策恩恵）,19015.0,9.6,0.01,0.10960659387508585,1.86,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安
4,5706.T,三井金属鉱業,72.2,70,75,72,🏛️ 買い（政策恩恵）,32830.0,4.9,0.01,0.21253860407659048,1.68,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
5,3482.T,ロードスターキャピタル,69.0,75,75,72,👀 監視・買い検討,3460.0,5.9,0.02,0.3496956352804041,44.12,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(44.1倍) / ⚠ペナルティ1件
6,9531.T,東京ガス,68.5,73,47,74,👀 監視・買い検討,7684.0,21.9,0.01,0.04201495241756777,0.81,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
7,1803.T,清水建設,68.4,72,62,76,👀 監視・買い検討,3330.0,8.9,0.01,0.09395139790077497,4.69,infrastructure,政策(infrastructure) / GC形成中 / 出来高急増 / 75日MA上 / 割安 / ⚠信用過熱(4.7倍) / ⚠ペナルティ2件
8,4275.T,カーリットHD,68.3,75,52,90,👀 監視・買い検討,2686.0,14.1,0.01,0.042481968457742346,3.86,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(3.9倍) / ⚠ペナルティ1件
9,6920.T,レーザーテック,67.6,78,53,84,👀 監視・買い検討,33090.0,101.1,0.35,0.34880771182141046,5.02,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(5.0倍) / ⚠ペナルティ1件
10,6208.T,石川製作所,64.5,70,45,90,👀 監視・買い検討,2411.0,91.3,0.03,0.03218271476771347,4.36,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(4.4倍) / ⚠ペナルティ1件
11,4578.T,大塚ホールディングス,64.1,70,52,60,👀 監視・買い検討,10085.0,16.2,0.01,0.07997138808286659,0.74,medical,GC形成中 / 75日MA上 / 信用良好(0.7倍) / ⚠ペナルティ1件
12,4063.T,信越化学工業,63.9,70,50,84,👀 監視・買い検討,5934.0,26.3,0.03,0.10175620317845234,5.25,"semiconductor, rare_earth","🏛️政策主力(semiconductor, rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(5.2倍) / ⚠ペナルティ1件"
13,5711.T,三菱マテリアル,63.5,65,52,72,👀 監視・買い検討,5200.0,13.8,0.01,0.03972532283843918,2.22,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
14,9279.T,ギフトホールディングス,63.2,70,35,72,👀 監視・買い検討,3960.0,163.7,0.06,0.036249674216268915,0.79,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
15,4519.T,中外製薬,63.1,75,53,60,👀 監視・買い検討,9757.0,42.12,0.09,0.21911463536336112,2.46,medical,GC形成中 / 75日MA上
16,7721.T,東京計器,62.8,65,45,90,👀 監視・買い検討,7960.0,16.37,0.0,0.02958765146059676,4.21,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(4.2倍) / ⚠ペナルティ1件
